Kode Universitas;Nama Universitas;Logo
10;ISBI ACEH;ISBI-ACEH-B-1024x917.jpg
11;UNIVERSITAS SYIAH KUALA;Logo Universitas Syiah Kuala png 300 dpi.png
12;UNIVERSITAS MALIKUSSALEH;Malikussaleh.png
13;UNIVERSITAS TEUKU UMAR;teuku umar.png
14;UNIVERSITAS NEGERI MEDAN;Logo Universitas Negeri Medan png 300 dpi.png
15;UNIVERSITAS SUMATERA UTARA;sumatera utara.png
16;UNIVERSITAS SAMUDRA;samudra.jpg
17;UNIVERSITAS NEGERI PADANG;Logo Universitas Negeri Padang png 300 dpi.png
18;UNIVERSITAS ANDALAS;Logo_Unand.png
19;UNIVERSITAS RIAU;Logo Universitas Riau png 300 dpi.png
20;UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM;uin suska.JPG
21;UNIVERSITAS JAMBI;Logo Universitas Jambi png 300 dpi.png
22;UNIVERSITAS MARITIM RAJA ALI HAJI;maritim raja ali haji.png
23;UNIVERSITAS SRIWIJAYA;LOGO UNIVERSITAS SRIWIJAYA.png
24;UNIVERSITAS BANGKA BELITUNG;LOGO UNIVERSITAS BANGKA BELITUNG.png
25;UNIVERSITAS BENGKULU;bengkulu.jpg
26;INSTITUT TEKNOLOGI SUMATERA;itera.png
27;UNIVERSITAS LAMPUNG;Logo Universitas Lampung png 300 dpi.png
28;UNIVERSITAS ISLAM NEGERI RADEN FATAH;raden fatah.jpg
29;UNIVERSITAS ISLAM NEGERI AR-RANIRY;LOGO 00 UIN AR-RANIRY.jpg
30;UNIVERSITAS NEGERI JAKARTA;negeri jakarta.png
31;UNIVERSITAS INDONESIA;Makara_UI.png
32;UNIVERSITAS ISLAM NEGERI JAKARTA;islam negeri jakarta.jpg
33;INSTITUT PERTANIAN BOGOR;ipb.png
34;UNIVERSITAS PENDIDIKAN INDONESIA;Logo Universitas Pendidikan Indonesia png 300 dpi.png
35;INSTITUT TEKNOLOGI BANDUNG;itb.png
36;UNIVERSITAS PADJADJARAN;Logo Unviersitas Padjadjaran png 300 dpi.png
37;UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI;LOGO UIN GUNUNG JATI.png
38;UNIVERSITAS SULTAN AGENG TIRTAYASA;sultan ageng.jpg
39;UPN "VETERAN" JAKARTA;upn jakarta.jpg
40;UNIVERSITAS SILIWANGI;Logo Universitas Siliwangi png 300 dpi.png
41;UNIVERSITAS JENDERAL SOEDIRMAN;Logo Universitas Jenderal Soedirman png 300 dpi.png
42;UNIVERSITAS NEGERI SEMARANG;LOGO UNIVERSITAS NEGERI SEMARANG.png
43;UNIVERSITAS DIPONEGORO;Logo Universitas Diponegoro png 300 dpi.png
44;UNIVERSITAS SEBELAS MARET;Logo-Universitas-Sebelas-Maret-Surakarta-UNS.png
45;UNIVERSITAS ISLAM NEGERI WALISONGO;walisongo.png
46;UNIVERSITAS NEGERI YOGYAKARTA;Logo Universitas Negeri Yogyakarta png 300 dpi.png
47;UNIVERSITAS GADJAH MADA;Logo Universitas Gadjah Mada png 300 dpi.png
48;UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA;Logo Universitas Islam Negeri Sunan Kalijaga png 300 dpi.png
49;UPN "VETERAN" YOGYAKARTA;upn yogyakarta.png
50;UNIVERSITAS NEGERI SURABAYA;Logo Universitas Negeri Surabaya png 300 dpi.png
51;INSTITUT TEKNOLOGI SEPULUH NOPEMBER;Logo Institut Teknologi Sepuluh November png 300 dpi.png
52;UNIVERSITAS AIRLANGGA;Logo Universitas Airlangga png 300 dpi.png
53;UNIVERSITAS TRUNOJOYO MADURA;trunojoyo.png
54;UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA;UIN_SUNAN_AMPEL.jpg
55;UNIVERSITAS NEGERI MALANG;Logo Universitas Negeri Malang png 300 dpi.png
56;UNIVERSITAS BRAWIJAYA;Logo-Universitas-Brawijaya-UB.jpg
57;UNIVERSITAS ISLAM NEGERI MALANG;logo-207-uin-maulana-malik-ibrahim-malang.png
58;UNIVERSITAS JEMBER;Logo Universitas Jember png 300 dpi.png
59;UPN "VETERAN" JAWA TIMUR;upn jatim.png
60;ISI PADANG PANJANG;1280px-LOGO_ISI_padangpanjang_Warna.jpg
61;ISBI BANDUNG;Logo-Institut-Seni-Budaya-Indonesia-ISBI-Bandung.png
62;ISI YOGYAKARTA;isi yogyakarta.png
63;UNIVERSITAS UDAYANA;Logo Universitas Udayana png 300 dpi.png
64;UNIVERSITAS PENDIDIKAN GANESHA;up ganesha.png
65;UNIVERSITAS MATARAM;Logo Universitas Mataram png 300 dpi.png
66;UNIVERSITAS NUSA CENDANA;Logo_Undana.png
67;UNIVERSITAS TIMOR;Logo_UNIMOR.png
68;ISI SURAKARTA;isi surakarta.png
69;ISI DENPASAR;isi denpasar.jpg
71;UNIVERSITAS TANJUNGPURA;Logo Universitas Tanjungpura png 300 dpi.png
73;UNIVERSITAS PALANGKARAYA;palangkaraya.jpg
75;UNIVERSITAS LAMBUNG MANGKURAT;lambung mangkurat.png
77;UNIVERSITAS MULAWARMAN;Logo-Universitas-Mulawarman-UNMUL.png
78;UNIVERSITAS BORNEO TARAKAN;borneo.png
79;INSTITUT TEKNOLOGI KALIMANTAN;LOGO-ITKa.png
80;UNIVERSITAS NEGERI MAKASSAR;makassar.png
81;UNIVERSITAS ISLAM NEGERI ALAUDDIN;alaudin.jpg
82;UNIVERSITAS HASANUDDIN;unhas.png
83;UNIVERSITAS TADULAKO;Logo Universitas Tadulako png 300 dpi.png
84;UNIVERSITAS HALUOLEO;haluoleo.png
85;UNIVERSITAS NEGERI GORONTALO;LOGO UNIVERSITAS NEGERI GORONTALO.png
86;UNIVERSITAS NEGERI MANADO;LOGO UNIMA-782587.png
87;UNIVERSITAS SAM RATULANGI;Logo Universitas Sam Ratulangi Manado png 300 dpi.png
88;UNIVERSITAS SULAWESI BARAT;sulbar.jpg
89;UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA;kolaka.jpg
90;UNIVERSITAS SINGAPERBANGSA KARAWANG;singaperbangsa.jpg
91;UNIVERSITAS TIDAR;tidar.jpg
92;UNIVERSITAS ISLAM NEGERI SUMATERA UTARA;logo UIN Sumut Karan.JPG
93;UNIVERSITAS PATTIMURA;Logo Universitas Pattimura png 300 dpi.png
94;UNIVERSITAS CENDERAWASIH;Logo Universitas Cendrawasih png 300 dpi.png
95;UNIVERSITAS KHAIRUN;khairun.png
96;UNIVERSITAS PAPUA;Logo-UNIPA2-01.png
97;ISBI TANAH PAPUA;ISBITP.jpg
98;UNIVERSITAS MUSAMUS MERAUKE;musamus.jpg
